#: table_doi: 10.17182/hepdata.115022.v2/t36
#: name: ak7_correlations_y3_y4
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$and $1.5 < |y| < 2.0$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y4.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
1499.0   1410.0   1588.0   1499.0   1410.0   1588.0   -0.02567
1686.0   1588.0   1784.0   115.0   97.0   133.0   -1.2545e-06
1686.0   1588.0   1784.0   153.5   133.0   174.0   6.0233e-07
1686.0   1588.0   1784.0   197.0   174.0   220.0   -3.5328e-07
1686.0   1588.0   1784.0   246.0   220.0   272.0   -2.8796e-07
1686.0   1588.0   1784.0   301.0   272.0   330.0   1.3157e-06
1686.0   1588.0   1784.0   362.5   330.0   395.0   -7.2855e-07
1686.0   1588.0   1784.0   431.5   395.0   468.0   3.8736e-06
1686.0   1588.0   1784.0   508.0   468.0   548.0   -8.0653e-06
1686.0   1588.0   1784.0   593.0   548.0   638.0   3.4046e-05
1686.0   1588.0   1784.0   687.5   638.0   737.0   -4.2688e-05
1686.0   1588.0   1784.0   791.5   737.0   846.0   -8.1516e-08
1686.0   1588.0   1784.0   906.5   846.0   967.0   -5.9842e-05
1686.0   1588.0   1784.0   1034.0   967.0   1101.0   -8.5073e-05
1686.0   1588.0   1784.0   1174.5   1101.0   1248.0   0.0005034
1686.0   1588.0   1784.0   1329.0   1248.0   1410.0   -0.0020778
1686.0   1588.0   1784.0   1499.0   1410.0   1588.0   0.011895
1892.0   1784.0   2000.0   115.0   97.0   133.0   -1.3619e-06
1892.0   1784.0   2000.0   153.5   133.0   174.0   5.5854e-07
1892.0   1784.0   2000.0   197.0   174.0   220.0   6.6405e-08
1892.0   1784.0   2000.0   246.0   220.0   272.0   -1.7154e-07
1892.0   1784.0   2000.0   301.0   272.0   330.0   5.7417e-07
1892.0   1784.0   2000.0   362.5   330.0   395.0   -1.0317e-06
1892.0   1784.0   2000.0   431.5   395.0   468.0   2.4392e-07
1892.0   1784.0   2000.0   508.0   468.0   548.0   -8.4262e-06
1892.0   1784.0   2000.0   593.0   548.0   638.0   1.8053e-05
1892.0   1784.0   2000.0   687.5   638.0   737.0   -3.4657e-06
1892.0   1784.0   2000.0   791.5   737.0   846.0   7.7296e-05
1892.0   1784.0   2000.0   906.5   846.0   967.0   0.0001008
