#: table_doi: 10.17182/hepdata.115022.v2/t27
#: name: ak7_correlations_y1_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$and $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
1174.5   1101.0   1248.0   791.5   737.0   846.0   0.0009036
1174.5   1101.0   1248.0   906.5   846.0   967.0   0.0011105
1174.5   1101.0   1248.0   1034.0   967.0   1101.0   0.0049417
1174.5   1101.0   1248.0   1174.5   1101.0   1248.0   0.041014
1174.5   1101.0   1248.0   1329.0   1248.0   1410.0   0.0083058
1174.5   1101.0   1248.0   1499.0   1410.0   1588.0   -0.00090498
1174.5   1101.0   1248.0   1686.0   1588.0   1784.0   0.0016106
1174.5   1101.0   1248.0   1892.0   1784.0   2000.0   0.00047549
1174.5   1101.0   1248.0   2119.0   2000.0   2238.0   -4.0297e-05
1329.0   1248.0   1410.0   115.0   97.0   133.0   -4.9197e-05
1329.0   1248.0   1410.0   153.5   133.0   174.0   2.2522e-05
1329.0   1248.0   1410.0   197.0   174.0   220.0   -6.698e-06
1329.0   1248.0   1410.0   246.0   220.0   272.0   6.319e-06
1329.0   1248.0   1410.0   301.0   272.0   330.0   -3.6478e-06
1329.0   1248.0   1410.0   362.5   330.0   395.0   1.7681e-05
1329.0   1248.0   1410.0   431.5   395.0   468.0   -1.5488e-05
1329.0   1248.0   1410.0   508.0   468.0   548.0   8.3123e-05
1329.0   1248.0   1410.0   593.0   548.0   638.0   -5.9065e-05
1329.0   1248.0   1410.0   687.5   638.0   737.0   0.00034451
1329.0   1248.0   1410.0   791.5   737.0   846.0   -7.0161e-05
1329.0   1248.0   1410.0   906.5   846.0   967.0   0.0012321
1329.0   1248.0   1410.0   1034.0   967.0   1101.0   0.00084392
1329.0   1248.0   1410.0   1174.5   1101.0   1248.0   0.0066363
1329.0   1248.0   1410.0   1329.0   1248.0   1410.0   0.043241
1329.0   1248.0   1410.0   1499.0   1410.0   1588.0   0.0083898
1329.0   1248.0   1410.0   1686.0   1588.0   1784.0   0.00046766
1329.0   1248.0   1410.0   1892.0   1784.0   2000.0   -0.0016851
1329.0   1248.0   1410.0   2119.0   2000.0   2238.0   0.0011943
1499.0   1410.0   1588.0   115.0   97.0   133.0   -3.6401e-05
1499.0   1410.0   1588.0   153.5   133.0   174.0   1.6353e-05
1499.0   1410.0   1588.0   197.0   174.0   220.0   -3.6184e-06
1499.0   1410.0   1588.0   246.0   220.0   272.0   2.3723e-06
1499.0   1410.0   1588.0   301.0   272.0   330.0   2.3989e-06
1499.0   1410.0   1588.0   362.5   330.0   395.0   1.0631e-06
1499.0   1410.0   1588.0   431.5   395.0   468.0   1.4299e-05
1499.0   1410.0   1588.0   508.0   468.0   548.0   7.2741e-06
1499.0   1410.0   1588.0   593.0   548.0   638.0   4.3244e-05
1499.0   1410.0   1588.0   687.5   638.0   737.0   9.1806e-05
1499.0   1410.0   1588.0   791.5   737.0   846.0   0.00013554
1499.0   1410.0   1588.0   906.5   846.0   967.0   0.00040541
1499.0   1410.0   1588.0   1034.0   967.0   1101.0   0.000781
1499.0   1410.0   1588.0   1174.5   1101.0   1248.0   0.001667
1499.0   1410.0   1588.0   1329.0   1248.0   1410.0   0.0036065
1499.0   1410.0   1588.0   1499.0   1410.0   1588.0   0.049713
1499.0   1410.0   1588.0   1686.0   1588.0   1784.0   -0.00062131
1499.0   1410.0   1588.0   1892.0   1784.0   2000.0   0.0053788
1499.0   1410.0   1588.0   2119.0   2000.0   2238.0   -0.0021128
1686.0   1588.0   1784.0   115.0   97.0   133.0   -1.8739e-05
1686.0   1588.0   1784.0   153.5   133.0   174.0   8.5924e-06
1686.0   1588.0   1784.0   197.0   174.0   220.0   -2.5381e-06
1686.0   1588.0   1784.0   246.0   220.0   272.0   2.5469e-06
1686.0   1588.0   1784.0   301.0   272.0   330.0   -6.7349e-07
1686.0   1588.0   1784.0   362.5   330.0   395.0   5.2749e-06
1686.0   1588.0   1784.0   431.5   395.0   468.0   1.2878e-06
1686.0   1588.0   1784.0   508.0   468.0   548.0   1.2813e-05
1686.0   1588.0   1784.0   593.0   548.0   638.0   1.8462e-05
1686.0   1588.0   1784.0   687.5   638.0   737.0   4.7042e-05
1686.0   1588.0   1784.0   791.5   737.0   846.0   -2.2457e-05
1686.0   1588.0   1784.0   906.5   846.0   967.0   0.00034304
1686.0   1588.0   1784.0   1034.0   967.0   1101.0   -0.00017694
1686.0   1588.0   1784.0   1174.5   1101.0   1248.0   0.0011707
1686.0   1588.0   1784.0   1329.0   1248.0   1410.0   0.0011413
1686.0   1588.0   1784.0   1499.0   1410.0   1588.0   0.0040993
1686.0   1588.0   1784.0   1686.0   1588.0   1784.0   0.046604
1686.0   1588.0   1784.0   1892.0   1784.0   2000.0   -0.0010127
1686.0   1588.0   1784.0   2119.0   2000.0   2238.0   0.0028724
1892.0   1784.0   2000.0   115.0   97.0   133.0   -1.6077e-05
1892.0   1784.0   2000.0   153.5   133.0   174.0   7.2321e-06
1892.0   1784.0   2000.0   197.0   174.0   220.0   -1.6753e-06
1892.0   1784.0   2000.0   246.0   220.0   272.0   9.7739e-07
1892.0   1784.0   2000.0   301.0   272.0   330.0   7.5254e-07
1892.0   1784.0   2000.0   362.5   330.0   395.0   5.651e-07
1892.0   1784.0   2000.0   431.5   395.0   468.0   3.9019e-06
1892.0   1784.0   2000.0   508.0   468.0   548.0   3.0616e-06
1892.0   1784.0   2000.0   593.0   548.0   638.0   6.4139e-06
1892.0   1784.0   2000.0   687.5   638.0   737.0   2.7891e-05
1892.0   1784.0   2000.0   791.5   737.0   846.0   6.9928e-05
1892.0   1784.0   2000.0   906.5   846.0   967.0   -5.478e-05
1892.0   1784.0   2000.0   1034.0   967.0   1101.0   0.00059682
1892.0   1784.0   2000.0   1174.5   1101.0   1248.0   -7.1328e-05
1892.0   1784.0   2000.0   1329.0   1248.0   1410.0   0.00027442
1892.0   1784.0   2000.0   1499.0   1410.0   1588.0   0.0029398
1892.0   1784.0   2000.0   1686.0   1588.0   1784.0   -0.00086034
1892.0   1784.0   2000.0   1892.0   1784.0   2000.0   0.035681
1892.0   1784.0   2000.0   2119.0   2000.0   2238.0   -0.0041556
2119.0   2000.0   2238.0   115.0   97.0   133.0   -7.6502e-06
2119.0   2000.0   2238.0   153.5   133.0   174.0   3.4489e-06
2119.0   2000.0   2238.0   197.0   174.0   220.0   -8.1726e-07
2119.0   2000.0   2238.0   246.0   220.0   272.0   4.8475e-07
2119.0   2000.0   2238.0   301.0   272.0   330.0   7.4944e-07
2119.0   2000.0   2238.0   362.5   330.0   395.0   -1.7012e-07
2119.0   2000.0   2238.0   431.5   395.0   468.0   2.3652e-06
2119.0   2000.0   2238.0   508.0   468.0   548.0   -2.2342e-06
2119.0   2000.0   2238.0   593.0   548.0   638.0   2.0588e-05
2119.0   2000.0   2238.0   687.5   638.0   737.0   -1.405e-05
2119.0   2000.0   2238.0   791.5   737.0   846.0   7.8333e-05
2119.0   2000.0   2238.0   906.5   846.0   967.0   8.2641e-05
2119.0   2000.0   2238.0   1034.0   967.0   1101.0   1.5859e-05
2119.0   2000.0   2238.0   1174.5   1101.0   1248.0   0.0001522
2119.0   2000.0   2238.0   1329.0   1248.0   1410.0   0.00047096
2119.0   2000.0   2238.0   1499.0   1410.0   1588.0   -0.0016375
2119.0   2000.0   2238.0   1686.0   1588.0   1784.0   0.006208
2119.0   2000.0   2238.0   1892.0   1784.0   2000.0   -0.010283
2119.0   2000.0   2238.0   2119.0   2000.0   2238.0   0.054567
2369.0   2238.0   2500.0   115.0   97.0   133.0   -5.2969e-06
2369.0   2238.0   2500.0   153.5   133.0   174.0   2.426e-06
2369.0   2238.0   2500.0   197.0   174.0   220.0   -7.1104e-07
2369.0   2238.0   2500.0   246.0   220.0   272.0   5.7395e-07
2369.0   2238.0   2500.0   301.0   272.0   330.0   -2.7733e-07
2369.0   2238.0   2500.0   362.5   330.0   395.0   1.5669e-06
2369.0   2238.0   2500.0   431.5   395.0   468.0   1.0991e-06
2369.0   2238.0   2500.0   508.0   468.0   548.0   2.147e-06
2369.0   2238.0   2500.0   593.0   548.0   638.0   1.5415e-05
2369.0   2238.0   2500.0   687.5   638.0   737.0   -6.3194e-06
