#: table_doi: 10.17182/hepdata.115022.v2/t35
#: name: ak7_correlations_y3_y3
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $1.0 < |y| < 1.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y3_y3.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
1034.0   967.0   1101.0   687.5   638.0   737.0   -0.13914
1034.0   967.0   1101.0   791.5   737.0   846.0   0.29124
1034.0   967.0   1101.0   906.5   846.0   967.0   -0.5835
1034.0   967.0   1101.0   1034.0   967.0   1101.0   1.0
1034.0   967.0   1101.0   1174.5   1101.0   1248.0   -0.56818
1034.0   967.0   1101.0   1329.0   1248.0   1410.0   0.27758
1034.0   967.0   1101.0   1499.0   1410.0   1588.0   -0.12924
1034.0   967.0   1101.0   1686.0   1588.0   1784.0   0.061247
1034.0   967.0   1101.0   1892.0   1784.0   2000.0   -0.016903
1034.0   967.0   1101.0   2119.0   2000.0   2238.0   0.008331
1174.5   1101.0   1248.0   115.0   97.0   133.0   -6.6497e-05
1174.5   1101.0   1248.0   153.5   133.0   174.0   8.4167e-05
1174.5   1101.0   1248.0   197.0   174.0   220.0   -0.00023996
1174.5   1101.0   1248.0   246.0   220.0   272.0   0.00052767
1174.5   1101.0   1248.0   301.0   272.0   330.0   -0.0011168
1174.5   1101.0   1248.0   362.5   330.0   395.0   0.0024807
1174.5   1101.0   1248.0   431.5   395.0   468.0   -0.0055961
1174.5   1101.0   1248.0   508.0   468.0   548.0   0.013243
1174.5   1101.0   1248.0   593.0   548.0   638.0   -0.031158
1174.5   1101.0   1248.0   687.5   638.0   737.0   0.06604
1174.5   1101.0   1248.0   791.5   737.0   846.0   -0.13761
1174.5   1101.0   1248.0   906.5   846.0   967.0   0.2842
1174.5   1101.0   1248.0   1034.0   967.0   1101.0   -0.56818
1174.5   1101.0   1248.0   1174.5   1101.0   1248.0   1.0
1174.5   1101.0   1248.0   1329.0   1248.0   1410.0   -0.56522
1174.5   1101.0   1248.0   1499.0   1410.0   1588.0   0.27185
1174.5   1101.0   1248.0   1686.0   1588.0   1784.0   -0.12849
1174.5   1101.0   1248.0   1892.0   1784.0   2000.0   0.035689
1174.5   1101.0   1248.0   2119.0   2000.0   2238.0   -0.017299
1329.0   1248.0   1410.0   115.0   97.0   133.0   -1.141e-05
1329.0   1248.0   1410.0   153.5   133.0   174.0   -2.0482e-05
1329.0   1248.0   1410.0   197.0   174.0   220.0   0.00010848
1329.0   1248.0   1410.0   246.0   220.0   272.0   -0.00024543
1329.0   1248.0   1410.0   301.0   272.0   330.0   0.00052849
1329.0   1248.0   1410.0   362.5   330.0   395.0   -0.0011684
1329.0   1248.0   1410.0   431.5   395.0   468.0   0.0026574
1329.0   1248.0   1410.0   508.0   468.0   548.0   -0.0062378
1329.0   1248.0   1410.0   593.0   548.0   638.0   0.014782
1329.0   1248.0   1410.0   687.5   638.0   737.0   -0.031097
1329.0   1248.0   1410.0   791.5   737.0   846.0   0.065236
1329.0   1248.0   1410.0   906.5   846.0   967.0   -0.13417
1329.0   1248.0   1410.0   1034.0   967.0   1101.0   0.27758
1329.0   1248.0   1410.0   1174.5   1101.0   1248.0   -0.56522
1329.0   1248.0   1410.0   1329.0   1248.0   1410.0   1.0
1329.0   1248.0   1410.0   1499.0   1410.0   1588.0   -0.55606
1329.0   1248.0   1410.0   1686.0   1588.0   1784.0   0.27065
1329.0   1248.0   1410.0   1892.0   1784.0   2000.0   -0.074586
1329.0   1248.0   1410.0   2119.0   2000.0   2238.0   0.035965
1499.0   1410.0   1588.0   115.0   97.0   133.0   -1.8845e-05
1499.0   1410.0   1588.0   153.5   133.0   174.0   2.0454e-05
1499.0   1410.0   1588.0   197.0   174.0   220.0   -5.3481e-05
1499.0   1410.0   1588.0   246.0   220.0   272.0   0.00011685
1499.0   1410.0   1588.0   301.0   272.0   330.0   -0.00024714
1499.0   1410.0   1588.0   362.5   330.0   395.0   0.00055066
1499.0   1410.0   1588.0   431.5   395.0   468.0   -0.0012393
1499.0   1410.0   1588.0   508.0   468.0   548.0   0.0029337
1499.0   1410.0   1588.0   593.0   548.0   638.0   -0.0068764
1499.0   1410.0   1588.0   687.5   638.0   737.0   0.0145
1499.0   1410.0   1588.0   791.5   737.0   846.0   -0.030193
1499.0   1410.0   1588.0   906.5   846.0   967.0   0.062636
