#: table_doi: 10.17182/hepdata.115022.v2/t25
#: name: ak7_correlations_y1_y1
#: description: The correlation matrix at the particle level of inclusive jet production cross section as a function of the jet transverse momentum~$p_\mathrm{T}$ for jets in $|y| < 0.5$ clustered using the anti-$k_\mathrm{t}$ algorithm with $R=0.7$. It contains contributions from the data and from the \textsc{PYTHIA}~8 sample used to perform the unfolding.
#: data_file: ak7_correlations_y1_y1.yaml
#: keyword observables: correlations
Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   Jet p_{T} [GeV]   Jet p_{T} [GeV] LOW   Jet p_{T} [GeV] HIGH   correlation
1034.0   967.0   1101.0   1034.0   967.0   1101.0   1.0
1034.0   967.0   1101.0   1174.5   1101.0   1248.0   -0.40905
1034.0   967.0   1101.0   1329.0   1248.0   1410.0   0.15985
1034.0   967.0   1101.0   1499.0   1410.0   1588.0   -0.056666
1034.0   967.0   1101.0   1686.0   1588.0   1784.0   0.021192
1034.0   967.0   1101.0   1892.0   1784.0   2000.0   -0.0071135
1034.0   967.0   1101.0   2119.0   2000.0   2238.0   0.0026615
1034.0   967.0   1101.0   2369.0   2238.0   2500.0   -0.00095405
1034.0   967.0   1101.0   2643.5   2500.0   2787.0   0.0005712
1034.0   967.0   1101.0   2945.0   2787.0   3103.0   -0.00021475
1174.5   1101.0   1248.0   115.0   97.0   133.0   -0.00013555
1174.5   1101.0   1248.0   153.5   133.0   174.0   6.2597e-05
1174.5   1101.0   1248.0   197.0   174.0   220.0   -4.5185e-05
1174.5   1101.0   1248.0   246.0   220.0   272.0   9.7516e-05
1174.5   1101.0   1248.0   301.0   272.0   330.0   -0.00020703
1174.5   1101.0   1248.0   362.5   330.0   395.0   0.0005384
1174.5   1101.0   1248.0   431.5   395.0   468.0   -0.0013219
1174.5   1101.0   1248.0   508.0   468.0   548.0   0.0037843
1174.5   1101.0   1248.0   593.0   548.0   638.0   -0.0099646
1174.5   1101.0   1248.0   687.5   638.0   737.0   0.025937
1174.5   1101.0   1248.0   791.5   737.0   846.0   -0.064995
1174.5   1101.0   1248.0   906.5   846.0   967.0   0.1683
1174.5   1101.0   1248.0   1034.0   967.0   1101.0   -0.40905
1174.5   1101.0   1248.0   1174.5   1101.0   1248.0   1.0
1174.5   1101.0   1248.0   1329.0   1248.0   1410.0   -0.38905
1174.5   1101.0   1248.0   1499.0   1410.0   1588.0   0.15231
1174.5   1101.0   1248.0   1686.0   1588.0   1784.0   -0.052177
1174.5   1101.0   1248.0   1892.0   1784.0   2000.0   0.019999
1174.5   1101.0   1248.0   2119.0   2000.0   2238.0   -0.0063256
1174.5   1101.0   1248.0   2369.0   2238.0   2500.0   0.0024488
1174.5   1101.0   1248.0   2643.5   2500.0   2787.0   -0.00095433
1174.5   1101.0   1248.0   2945.0   2787.0   3103.0   0.00038287
1329.0   1248.0   1410.0   115.0   97.0   133.0   -7.8651e-05
1329.0   1248.0   1410.0   153.5   133.0   174.0   2.9446e-05
1329.0   1248.0   1410.0   197.0   174.0   220.0   7.6412e-06
1329.0   1248.0   1410.0   246.0   220.0   272.0   -2.8016e-05
1329.0   1248.0   1410.0   301.0   272.0   330.0   8.1798e-05
1329.0   1248.0   1410.0   362.5   330.0   395.0   -0.00018752
1329.0   1248.0   1410.0   431.5   395.0   468.0   0.00052782
1329.0   1248.0   1410.0   508.0   468.0   548.0   -0.0013678
1329.0   1248.0   1410.0   593.0   548.0   638.0   0.0038712
1329.0   1248.0   1410.0   687.5   638.0   737.0   -0.0093461
1329.0   1248.0   1410.0   791.5   737.0   846.0   0.025094
1329.0   1248.0   1410.0   906.5   846.0   967.0   -0.060812
1329.0   1248.0   1410.0   1034.0   967.0   1101.0   0.15985
1329.0   1248.0   1410.0   1174.5   1101.0   1248.0   -0.38905
1329.0   1248.0   1410.0   1329.0   1248.0   1410.0   1.0
1329.0   1248.0   1410.0   1499.0   1410.0   1588.0   -0.37865
1329.0   1248.0   1410.0   1686.0   1588.0   1784.0   0.14409
1329.0   1248.0   1410.0   1892.0   1784.0   2000.0   -0.049857
1329.0   1248.0   1410.0   2119.0   2000.0   2238.0   0.018402
1329.0   1248.0   1410.0   2369.0   2238.0   2500.0   -0.0061888
1329.0   1248.0   1410.0   2643.5   2500.0   2787.0   0.0026652
1329.0   1248.0   1410.0   2945.0   2787.0   3103.0   -0.0003426
1499.0   1410.0   1588.0   115.0   97.0   133.0   -5.9746e-05
1499.0   1410.0   1588.0   153.5   133.0   174.0   2.5432e-05
1499.0   1410.0   1588.0   197.0   174.0   220.0   -9.3027e-06
1499.0   1410.0   1588.0   246.0   220.0   272.0   1.6426e-05
1499.0   1410.0   1588.0   301.0   272.0   330.0   -2.8397e-05
1499.0   1410.0   1588.0   362.5   330.0   395.0   8.1905e-05
1499.0   1410.0   1588.0   431.5   395.0   468.0   -0.00018382
1499.0   1410.0   1588.0   508.0   468.0   548.0   0.0005538
1499.0   1410.0   1588.0   593.0   548.0   638.0   -0.0013664
1499.0   1410.0   1588.0   687.5   638.0   737.0   0.0037137
1499.0   1410.0   1588.0   791.5   737.0   846.0   -0.0089541
1499.0   1410.0   1588.0   906.5   846.0   967.0   0.023642
1499.0   1410.0   1588.0   1034.0   967.0   1101.0   -0.056666
1499.0   1410.0   1588.0   1174.5   1101.0   1248.0   0.15231
1499.0   1410.0   1588.0   1329.0   1248.0   1410.0   -0.37865
1499.0   1410.0   1588.0   1499.0   1410.0   1588.0   1.0
1499.0   1410.0   1588.0   1686.0   1588.0   1784.0   -0.35954
1499.0   1410.0   1588.0   1892.0   1784.0   2000.0   0.14053
1499.0   1410.0   1588.0   2119.0   2000.0   2238.0   -0.046649
1499.0   1410.0   1588.0   2369.0   2238.0   2500.0   0.017193
1499.0   1410.0   1588.0   2643.5   2500.0   2787.0   -0.0075735
1499.0   1410.0   1588.0   2945.0   2787.0   3103.0   0.0021397
1686.0   1588.0   1784.0   115.0   97.0   133.0   -3.0282e-05
